Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseA1,CA1,Major,3,85
U,BS1,1,CourseA6,CA6,Minor,4,84
U,BS1,1,CourseA2,CA2,Major,3,88
U,BS1,2,CourseA11,CA11,Major,3,82
U,BS1,2,CourseA12,CA12,Minor,4,83
U,BS1,3,CourseA13,CA13,Major,3,81
U,BS1,3,CourseA15,CA15,Major,3,82
U,BS1,4,CourseA19,CA19,Minor,4,81
U,BS1,4,CourseA22,CA22,Major,3,82
U,BS1,1,CourseA24,CA24,Major,3,83
U,BS1,3,CourseA26,CA26,Minor,4,60
U,BS1,1,CourseA27,CA27,Major,3,82
U,BS1,2,CourseA26,CA26,Minor,3,83
U,BS1,2,CourseA30,CA30,Major,4,83
U,BS1,3,CourseA31,CA31,Minor,3,88
U,BS1,3,CourseA35,CA35,Major,3,83
U,BS1,4,CourseA37,CA37,Major,3,90
U,BS1,3,CourseA26,CA26,Minor,4,79
