Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BS1,1,CourseA1,CA1,Major,3,73
U,BS1,2,CourseA6,CA6,Minor,4,86
U,BS1,1,CourseA2,CA2,Major,3,75
U,BS1,2,CourseA11,CA11,Major,3,80
U,BS1,3,CourseA16,CA16,Minor,4,72
U,BS1,2,CourseA12,CA12,Major,3,81
U,BS1,3,CourseA21,CA21,Major,3,82
U,BS1,3,CourseA26,CA26,Minor,4,79
U,BS1,2,CourseA12,CA12,Minor,3,71
U,BS1,3,CourseA22,CA22,Major,3,83
U,BS1,3,CourseA26,CA26,Minor,4,81
U,BS1,1,CourseA28,CA28,Minor,4,90
M,M1,4,CourseA32,CA32,Major,3,60
M,M1,4,CourseA32,CA32,Major,3,59
M,M1,2,CourseA35,CA35,Minor,4,65
M,M1,1,CourseA34,CA34,Minor,3,87
M,M1,4,CourseA32,CA32,Minor,3,84
M,M1,2,CourseA35,CA35,Minor,4,86
M,M1,3,CourseA4,CA4,Minor,3,84
M,M1,3,CourseA23,CA23,Major,4,90
M,M1,3,CourseA33,CA33,Minor,3,83
M,M1,2,CourseA5,CA5,Major,3,86
M,M1,1,CourseA37,CA37,Major,4,89
