Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,D1,1,CourseD1,CD1,Major,3,82
U,D1,1,CourseD6,CD6,Minor,4,84
U,D1,1,CourseD2,CD2,Major,3,83
U,D1,2,CourseD11,CD11,Major,4,82
U,D1,2,CourseD12,CD12,Minor,4,88
U,D1,3,CourseD13,CD13,Major,3,81
U,D1,3,CourseD15,CD15,Major,4,82
U,D1,4,CourseD19,CD19,Minor,4,97
U,D1,4,CourseD22,CD22,Major,3,85
U,D1,3,CourseD24,CD24,Major,3,83
U,D1,2,CourseD26,CD26,Minor,3,73
U,D1,1,CourseD27,CD27,Major,3,82
U,D1,3,CourseD26,CD26,Minor,3,72
U,D1,1,CourseD30,CD30,Minor,4,83
U,D1,4,CourseD31,CD31,Minor,4,88
U,D1,4,CourseD35,CD35,Minor,3,78
U,D1,2,CourseD37,CD37,Major,3,79
